second,minute,angry,disgust,fear,happy,sad,surprised,neutral
128,3,0,0,0,0,0,0,0
129,3,0,0,0,0,0,0,0
130,3,0,0,0,0,0,0,0
131,3,0,0,0,0,0,0,0
132,3,0,0,0,0,1,0,0
133,3,0,0,0,1,0,0,0
134,3,0,0,0,2,0,0,0
135,3,0,0,0,1,0,0,0
136,3,0,0,0,1,0,0,0
137,3,0,0,0,1,0,0,0
138,3,0,0,0,1,0,0,0
139,3,0,0,0,0,0,0,0
140,3,0,0,0,0,0,0,0
141,3,0,0,0,0,0,0,0
142,3,0,0,0,0,0,0,0
143,3,0,0,0,1,0,0,0
144,3,0,0,0,1,0,0,0
145,3,0,0,0,0,0,0,0
146,3,0,0,0,0,1,0,0
147,3,0,0,0,0,0,0,0
148,3,0,0,0,0,0,0,0
149,3,0,0,0,0,1,0,0
150,3,0,0,0,1,0,0,0
151,3,0,0,0,1,0,0,0
152,3,0,0,0,0,0,0,0
153,3,0,0,0,0,0,0,0
154,3,0,0,0,0,0,0,0
155,3,0,0,0,1,0,0,0
156,3,0,0,0,1,0,0,0
157,3,0,0,0,0,0,0,0
158,3,0,0,0,0,0,0,0
159,3,0,0,0,1,0,0,0
160,3,0,0,0,1,0,0,0
161,3,0,0,0,1,0,0,0
162,3,0,0,0,1,0,0,0
163,3,0,0,0,0,0,0,0
164,3,0,0,0,0,0,0,0
165,3,0,0,0,1,0,0,0
166,3,1,0,0,2,0,0,0
167,3,0,0,0,0,0,0,0
168,3,0,0,0,0,0,0,0
169,3,0,0,0,0,0,0,0
170,3,0,0,0,0,0,0,0
171,3,0,0,0,0,0,0,0
172,3,0,0,0,1,0,0,0
173,3,0,0,0,0,0,0,0
174,3,0,0,0,0,0,0,0
175,3,1,0,0,0,0,0,0
176,3,0,0,0,0,0,0,0
177,3,0,0,0,0,0,0,0
178,3,0,0,0,0,0,0,0
179,3,0,0,0,0,0,0,0
180,3,0,0,0,0,0,0,0
181,4,0,0,0,0,0,0,0
182,4,0,0,0,0,0,0,0
183,4,0,0,0,0,0,0,0
184,4,0,0,0,0,0,0,0
185,4,0,0,0,1,0,0,0
186,4,0,0,0,0,0,0,1
187,4,0,0,0,0,0,0,0
188,4,0,0,0,0,0,0,0
189,4,0,0,0,0,0,0,0
190,4,0,0,0,0,0,0,0
191,4,0,0,0,1,0,0,0
192,4,0,0,0,0,0,0,0
193,4,0,0,0,0,0,0,0
194,4,0,0,0,0,0,0,0
195,4,0,0,0,0,0,0,0
196,4,0,0,0,0,0,0,0
197,4,0,0,0,0,0,0,0
198,4,0,0,0,0,0,0,0
199,4,0,0,0,0,0,0,0
200,4,0,0,0,0,0,0,0
201,4,0,0,0,0,0,0,0
202,4,0,0,0,0,0,0,0
203,4,0,0,0,0,0,0,0
204,4,0,0,0,0,0,0,0
205,4,0,0,0,0,0,0,0
206,4,0,0,0,0,0,0,0
207,4,0,0,0,0,0,0,0
208,4,1,0,0,0,0,0,0
209,4,0,0,0,0,0,0,0
210,4,0,0,0,0,0,0,0
211,4,0,0,0,0,0,0,0
212,4,0,0,0,0,0,0,0
213,4,0,0,0,0,0,0,0
214,4,0,0,0,0,0,0,0
215,4,0,0,0,0,0,0,0
216,4,0,0,0,0,0,0,0
217,4,0,0,0,0,0,0,0
218,4,0,0,0,0,0,0,0
219,4,0,0,0,0,0,0,1
220,4,0,0,0,0,0,0,1
221,4,0,0,0,0,1,0,1
222,4,0,0,0,0,1,0,0
223,4,0,0,0,0,0,0,1
224,4,0,0,0,0,0,0,0
225,4,0,0,0,0,0,0,0
226,4,0,0,0,0,0,0,0
227,4,0,0,0,0,0,0,0
228,4,0,0,0,0,0,0,0
229,4,0,0,0,0,0,0,0
230,4,0,0,0,0,0,1,0
231,4,0,0,0,0,1,1,0
232,4,0,0,0,0,0,0,0
233,4,0,0,0,0,1,0,0
234,4,0,0,0,0,0,0,0
235,4,0,0,0,0,0,0,0
236,4,0,0,0,0,0,0,0
237,4,0,0,0,0,0,0,0
238,4,0,0,0,0,0,0,0
239,4,0,0,0,0,1,0,0
240,4,0,0,0,0,0,0,0
241,5,0,0,0,0,1,0,0
242,5,0,0,0,0,0,0,0
243,5,0,0,0,0,0,0,0
244,5,0,0,0,0,0,0,0
245,5,0,0,0,0,0,0,0
246,5,0,0,0,0,0,0,0
247,5,0,0,0,0,0,0,0
248,5,0,0,0,0,0,0,0
249,5,0,0,0,0,0,0,0
250,5,0,0,0,0,0,0,0
251,5,0,0,0,0,0,0,1
252,5,0,0,0,0,0,0,0
253,5,0,0,0,0,0,0,1
254,5,0,0,0,0,0,0,1
255,5,0,0,0,0,0,0,1
256,5,0,0,0,0,0,0,1
257,5,0,0,0,0,0,0,0
258,5,0,0,0,0,0,0,0
259,5,0,0,0,0,0,0,0
260,5,0,0,0,0,0,0,0
261,5,0,0,0,0,0,0,0
262,5,0,0,0,0,0,0,0
263,5,0,0,0,0,0,0,0
264,5,0,0,0,1,0,0,0
265,5,0,0,0,1,0,0,0
266,5,0,0,0,1,0,0,0
267,5,0,0,0,1,0,0,0
268,5,0,0,0,0,0,0,0
269,5,0,0,0,0,0,0,0
270,5,0,0,0,1,0,0,0
271,5,0,0,0,0,0,0,0
272,5,0,0,0,0,0,0,0
273,5,0,0,0,0,0,0,0
274,5,0,0,0,0,0,0,1
275,5,0,0,0,0,1,0,0
276,5,0,0,0,0,0,0,0
277,5,0,0,0,0,1,0,0
278,5,0,0,0,0,1,0,0
279,5,0,0,0,0,0,0,0
280,5,0,0,0,0,0,0,0
281,5,0,0,0,0,0,0,0
282,5,0,0,0,0,0,0,0
283,5,0,0,0,0,0,0,0
284,5,0,0,0,0,0,0,0
285,5,0,0,0,0,0,0,0
286,5,0,0,0,0,0,0,0
287,5,0,0,0,0,0,0,0
288,5,0,0,0,0,0,0,0
289,5,0,0,0,1,0,0,0
290,5,0,0,0,1,0,0,0
291,5,0,0,0,0,0,0,0
292,5,0,0,0,0,0,0,0
293,5,0,0,0,0,0,0,0
294,5,0,0,0,0,0,0,0
295,5,0,0,0,0,0,0,0
296,5,0,0,0,0,0,0,0
297,5,0,0,0,1,0,0,0
298,5,0,0,0,1,0,0,0
299,5,0,0,0,0,0,0,0
300,5,0,0,0,0,0,0,0
301,6,0,0,0,0,0,0,0
302,6,0,0,0,0,0,0,0
303,6,0,0,1,0,0,0,0
304,6,0,0,0,1,0,0,0
305,6,0,0,0,1,0,0,0
306,6,0,0,0,1,0,0,0
307,6,0,0,0,1,0,0,0
308,6,0,0,0,1,0,0,0
309,6,0,0,0,0,0,0,0
310,6,0,0,0,0,0,0,0
311,6,0,0,0,1,0,0,0
312,6,0,0,0,0,0,0,0
313,6,0,0,0,0,0,0,0
314,6,0,0,0,1,0,0,0
315,6,0,0,0,1,0,0,0
316,6,0,0,0,1,0,0,0
317,6,0,0,0,1,0,0,0
318,6,0,0,0,1,0,0,0
319,6,0,0,0,1,0,0,0
320,6,0,0,0,1,0,0,0
321,6,0,0,0,1,0,0,0
322,6,0,0,0,1,0,0,0
323,6,0,0,0,0,0,0,0
324,6,0,0,0,0,1,0,0
325,6,0,0,0,0,0,0,0
326,6,0,0,0,0,0,0,0
327,6,0,0,0,0,0,1,0
328,6,0,0,0,1,0,0,0
329,6,0,0,0,0,0,0,0
330,6,0,0,0,0,0,0,0
331,6,0,0,0,0,1,0,0
332,6,0,0,0,0,0,0,0
333,6,0,0,0,0,0,0,0
334,6,0,0,0,0,1,0,0
335,6,0,0,0,0,1,0,0
336,6,0,0,0,0,0,0,0
337,6,0,0,0,1,0,0,0
338,6,0,0,0,1,0,0,0
339,6,0,0,0,1,0,0,0
340,6,0,0,0,0,0,0,0
341,6,0,0,0,0,1,0,0
342,6,0,0,0,0,0,0,0
343,6,0,0,0,0,1,0,0
344,6,0,0,0,0,0,0,0
345,6,0,0,0,0,0,0,0
346,6,0,0,0,0,0,0,0
347,6,0,0,0,0,0,0,0
348,6,0,0,0,1,0,0,0
349,6,0,0,0,1,0,0,0
350,6,0,0,0,0,0,0,0
351,6,0,0,0,0,0,0,1
352,6,0,0,0,1,0,0,0
353,6,0,0,0,0,0,0,0
354,6,0,0,0,0,0,0,0
355,6,0,0,0,0,0,0,0
356,6,0,0,0,0,1,0,0
357,6,0,0,0,0,1,0,0
358,6,0,0,0,0,0,0,0
359,6,0,0,0,0,1,0,0
360,6,0,0,0,0,1,0,0
361,7,0,0,0,0,1,0,0
362,7,0,0,0,0,1,0,0
363,7,0,0,0,1,0,0,0
364,7,0,0,0,0,0,0,0
365,7,0,0,0,0,0,0,0
366,7,0,0,0,0,0,0,0
367,7,0,0,0,0,0,0,0
368,7,0,0,0,1,0,0,0
369,7,0,0,0,0,0,0,0
370,7,0,0,0,1,0,0,0
371,7,0,0,0,0,0,0,0
372,7,0,0,0,0,0,0,0
373,7,0,0,0,0,0,0,0
374,7,0,0,0,0,1,0,0
375,7,0,0,0,0,0,0,0
376,7,0,0,0,0,0,0,0
377,7,0,0,0,1,0,0,0
378,7,0,0,0,0,0,0,0
379,7,0,0,0,1,0,0,0
380,7,0,0,0,1,0,0,0
381,7,0,0,0,0,0,0,0
382,7,0,0,0,0,0,0,0
383,7,0,0,0,0,0,0,0
384,7,0,0,0,0,0,0,1
385,7,0,0,0,1,0,0,0
386,7,0,0,0,0,0,0,0
387,7,0,0,0,0,0,0,0
388,7,0,0,0,0,0,0,0
389,7,0,0,0,0,0,0,0
390,7,1,0,0,0,0,0,0
391,7,0,0,0,0,0,0,0
392,7,0,0,0,0,0,0,0
393,7,0,0,0,0,0,0,0
394,7,0,0,0,0,0,0,1
395,7,0,0,0,0,0,0,0
396,7,0,0,0,0,0,0,0
397,7,0,0,0,0,0,0,1
398,7,0,0,0,1,0,0,0
399,7,0,0,0,1,0,0,0
400,7,0,0,0,0,0,0,0
401,7,0,0,0,0,0,0,0
402,7,0,0,0,0,0,0,0
403,7,0,0,0,0,0,0,0
404,7,0,0,0,0,0,0,0
405,7,0,0,0,0,0,0,0
406,7,0,0,0,1,0,0,0
407,7,0,0,0,1,0,0,0
408,7,0,0,0,0,0,1,0
409,7,0,0,0,0,0,0,0
410,7,0,0,0,0,0,0,0
411,7,0,0,0,0,0,0,0
412,7,0,0,0,1,0,0,0
413,7,0,0,0,0,0,0,0
414,7,0,0,0,1,0,0,0
415,7,0,0,0,0,0,0,0
416,7,0,0,0,0,0,0,0
417,7,0,0,0,0,0,0,0
418,7,0,0,0,0,0,0,0
419,7,0,0,0,0,0,0,0
420,7,0,0,0,0,0,0,0
421,8,0,0,0,0,0,0,0
422,8,0,0,0,0,0,0,0
423,8,0,0,0,0,0,0,0
424,8,0,0,0,0,0,0,0
425,8,0,0,0,0,0,0,0
426,8,0,0,0,0,0,0,0
427,8,0,0,0,1,0,0,0
428,8,0,0,0,0,0,0,0
429,8,1,0,0,0,0,0,0
430,8,1,0,0,0,0,0,0
431,8,0,0,0,0,0,0,0
432,8,0,0,0,0,0,0,0
433,8,0,0,0,0,0,0,0
434,8,0,0,0,0,0,0,0
435,8,0,0,0,0,0,0,0
436,8,0,0,0,0,0,0,0
437,8,0,0,0,0,0,0,0
438,8,0,0,0,0,0,0,0
439,8,0,0,0,0,0,0,0
440,8,0,0,0,0,0,0,0
441,8,0,0,0,0,0,0,0
442,8,0,0,0,0,0,0,0
443,8,0,0,0,0,0,0,0
444,8,0,0,0,2,1,0,0
445,8,0,0,0,0,0,0,0
446,8,0,0,0,0,0,0,0
447,8,0,0,0,0,0,0,0
448,8,0,0,0,0,0,0,0
449,8,0,0,0,0,0,0,0
450,8,0,0,0,0,0,0,0
451,8,0,0,0,0,0,0,1
452,8,0,0,0,0,0,0,1
453,8,0,0,0,0,0,0,1
454,8,0,0,0,0,0,0,0
455,8,0,0,0,0,0,0,0
456,8,0,0,0,0,0,0,0
457,8,0,0,0,0,0,0,0
458,8,0,0,0,0,0,0,0
459,8,0,0,0,0,0,0,0
460,8,0,0,0,0,0,0,0
461,8,0,0,0,0,0,0,0
462,8,0,0,0,0,0,0,0
463,8,0,0,0,0,0,0,0
464,8,0,0,0,0,0,0,0
465,8,0,0,0,0,0,0,0
466,8,0,0,0,0,0,0,0
467,8,0,0,0,0,0,0,0
468,8,0,0,0,0,0,0,0
469,8,0,0,0,0,0,0,0
470,8,0,0,0,0,0,0,0
471,8,0,0,0,0,0,0,0
472,8,0,0,0,0,0,0,0
473,8,0,0,0,0,0,0,0
474,8,0,0,0,0,0,0,0
475,8,0,0,0,0,0,0,0
476,8,0,0,0,0,0,0,0
477,8,0,0,0,0,0,0,0
478,8,0,0,0,0,0,0,0
479,8,0,0,0,0,0,0,0
480,8,0,0,1,1,0,0,0
481,9,0,0,0,0,0,0,0
482,9,0,0,0,0,0,0,1
483,9,0,0,0,0,0,0,1
484,9,0,0,0,1,0,0,0
485,9,0,0,1,1,0,0,0
486,9,0,0,0,1,0,0,0
487,9,0,0,0,0,0,0,0
488,9,0,0,0,3,0,0,0
489,9,0,0,0,1,0,0,0
490,9,0,0,0,1,0,0,0
491,9,0,0,0,0,0,0,0
492,9,0,0,0,0,0,0,0
493,9,0,0,0,1,1,0,0
494,9,0,0,0,0,0,0,0
495,9,0,0,0,1,0,0,0
496,9,0,0,0,0,0,0,0
497,9,0,0,0,0,0,0,0
498,9,0,0,0,0,0,0,0
499,9,0,0,0,0,0,0,0
500,9,0,0,0,0,0,0,0
501,9,0,0,0,0,0,0,0
502,9,0,0,0,0,0,0,0
503,9,0,0,0,0,0,0,0
504,9,0,0,0,0,0,0,0
505,9,0,0,0,0,0,0,0
506,9,0,0,0,0,0,0,0
507,9,0,0,0,0,0,0,0
508,9,0,0,0,0,0,0,0
509,9,0,0,0,0,0,0,0
510,9,0,0,0,0,0,0,0
511,9,0,0,0,0,0,0,0
512,9,0,0,0,0,0,0,0
513,9,0,0,0,0,0,0,0
514,9,0,0,0,0,0,0,0
515,9,0,0,0,0,0,0,0
516,9,0,0,0,0,0,0,0
517,9,0,0,0,0,0,0,0
518,9,0,0,0,0,0,0,0
519,9,0,0,1,0,0,0,0
520,9,0,0,0,0,0,0,0
521,9,0,0,0,0,0,0,0
522,9,0,0,0,0,0,0,0
523,9,0,0,0,0,0,0,0
524,9,0,0,0,0,0,0,0
525,9,0,0,0,0,0,0,0
526,9,0,1,0,0,0,0,0
527,9,0,0,0,0,0,0,0
528,9,0,0,0,0,0,0,0
529,9,0,0,0,0,0,0,0
530,9,0,0,0,0,0,0,0
531,9,0,0,0,0,0,0,0
532,9,0,0,0,0,0,0,0
533,9,0,0,0,0,0,0,0
534,9,0,0,0,0,0,0,0
535,9,1,0,0,0,0,0,0
536,9,0,0,0,0,0,0,0
537,9,0,0,0,0,0,0,0
538,9,0,0,0,0,0,0,0
539,9,0,0,0,0,0,0,0
540,9,1,0,0,0,0,0,0
541,10,0,0,0,1,0,0,0
542,10,0,0,0,0,0,1,0
543,10,0,0,0,0,0,0,0
544,10,0,0,0,0,0,0,0
545,10,0,0,0,0,0,0,0
546,10,0,0,0,0,0,0,0
547,10,0,0,0,0,0,1,0
548,10,0,0,0,0,0,0,0
549,10,0,0,0,0,0,0,0
550,10,0,0,0,0,0,0,0
551,10,0,0,0,0,0,0,0
552,10,0,0,0,0,0,0,0
553,10,0,0,0,0,0,0,0
554,10,0,0,0,0,0,0,0
555,10,0,0,0,0,0,0,0
556,10,0,0,0,0,0,0,0
557,10,0,0,0,0,0,0,0
558,10,0,0,0,0,0,0,0
559,10,0,0,0,0,0,0,0
560,10,0,0,0,0,0,0,0
561,10,0,0,0,0,0,0,0
562,10,0,0,0,0,0,0,0
563,10,0,0,0,0,0,0,0
564,10,0,0,0,0,0,0,0
565,10,0,0,0,0,0,0,0
566,10,0,0,0,0,0,0,0
567,10,0,0,0,0,0,0,0
568,10,0,0,0,0,0,0,0
569,10,0,0,0,0,0,0,0
570,10,0,0,0,0,0,0,0
571,10,0,0,0,0,0,0,0
572,10,0,0,0,0,0,0,0
573,10,0,0,0,0,0,0,0
574,10,0,0,0,0,0,0,0
575,10,0,0,0,0,0,0,0
576,10,0,0,0,0,0,0,0
577,10,0,0,0,0,0,0,0
578,10,0,0,0,0,0,0,0
579,10,0,0,0,0,0,0,0
580,10,0,0,0,0,0,0,0
581,10,0,0,0,0,0,0,0
582,10,0,0,0,0,0,0,0
583,10,0,0,0,0,0,0,0
584,10,0,0,0,0,0,0,0
585,10,0,0,0,0,0,0,0
586,10,0,0,0,0,0,0,0
587,10,0,0,0,0,0,0,0
588,10,0,0,0,0,0,0,0
589,10,0,0,0,0,0,0,0
590,10,0,0,0,0,0,0,0
591,10,0,0,0,0,0,0,0
592,10,1,0,0,0,0,0,0
593,10,0,0,0,0,0,0,0
594,10,0,0,0,0,0,0,0
595,10,0,0,0,0,0,0,0
596,10,0,0,0,1,0,0,0
597,10,0,0,0,0,0,0,0
598,10,0,0,0,1,0,0,0
599,10,1,0,0,0,0,0,0
600,10,0,0,0,0,0,0,0
601,11,0,0,0,0,0,0,0
602,11,0,0,0,0,0,0,0
603,11,0,0,0,0,0,0,0
604,11,0,0,0,0,0,0,0
605,11,0,0,0,0,0,0,0
606,11,0,0,0,1,0,0,0
607,11,0,0,0,0,0,0,0
608,11,0,0,0,0,0,0,0
609,11,0,0,0,0,0,0,0
610,11,0,0,0,1,0,0,0
611,11,0,0,0,0,0,0,0
612,11,0,0,0,0,0,0,0
613,11,1,0,0,2,0,0,0
614,11,0,0,0,2,0,0,0
615,11,0,0,0,0,0,0,0
616,11,1,0,0,1,0,0,0
617,11,0,0,0,0,0,0,0
618,11,0,0,0,2,0,0,1
619,11,0,0,0,0,0,0,0
620,11,0,0,0,0,0,0,0
621,11,1,0,0,0,1,0,1
622,11,0,0,0,0,0,0,1
623,11,0,0,0,0,0,0,1
624,11,0,0,0,0,0,0,1
625,11,0,0,0,0,0,0,1
626,11,1,0,0,1,0,0,0
627,11,0,0,0,0,0,0,1
628,11,0,0,0,1,0,0,0
629,11,0,0,0,0,0,0,0
630,11,0,0,0,0,0,0,1
631,11,0,0,0,0,0,0,0
632,11,0,0,0,0,0,0,0
633,11,0,0,0,0,0,0,0
634,11,0,0,0,1,0,0,0
635,11,0,0,0,0,0,0,0
636,11,0,0,0,2,0,0,0
637,11,0,0,0,0,0,0,0
638,11,0,0,0,0,0,1,0
639,11,0,0,0,0,0,0,0
640,11,0,0,0,0,0,0,0
641,11,0,0,0,0,0,0,0
642,11,0,0,0,0,0,0,0
643,11,0,0,0,0,0,0,0
644,11,0,0,0,0,0,0,0
645,11,0,0,0,0,0,0,0
646,11,0,0,0,0,0,0,0
647,11,0,0,0,0,0,0,0
648,11,0,0,0,0,0,0,0
649,11,0,0,0,0,0,0,0
650,11,1,0,0,0,0,0,0
651,11,0,0,0,0,0,0,0
652,11,0,0,0,0,0,0,0
653,11,0,0,0,0,0,0,0
654,11,0,0,0,0,0,0,0
655,11,0,0,0,0,0,0,0
656,11,0,0,0,0,0,0,0
657,11,0,0,0,0,0,0,0
658,11,0,0,0,0,0,0,0
659,11,0,0,0,0,0,0,0
660,11,0,0,0,0,0,0,0
661,12,0,0,0,0,0,0,0
662,12,0,0,0,0,0,0,0
663,12,0,0,0,0,0,0,0
664,12,0,0,0,0,0,0,0
665,12,0,0,0,0,0,0,0
666,12,0,0,0,0,0,0,0
667,12,0,0,0,1,0,0,0
668,12,0,0,0,0,0,0,0
669,12,0,0,0,0,0,0,0
670,12,0,0,0,0,0,0,0
671,12,0,0,0,0,0,0,0
672,12,0,0,0,0,0,0,0
673,12,0,0,0,0,0,0,0
674,12,0,0,0,0,0,0,0
675,12,0,0,0,0,0,0,0
676,12,0,0,0,0,0,0,0
677,12,0,0,0,0,0,0,0
678,12,0,0,0,0,0,0,0
679,12,0,0,0,0,0,0,0
680,12,0,0,0,0,0,0,0
681,12,0,0,0,0,0,0,0
682,12,0,0,0,0,0,0,0
683,12,0,0,0,0,0,0,0
684,12,0,0,0,0,0,0,0
685,12,0,0,0,0,0,0,0
686,12,0,0,0,0,0,0,0
687,12,0,0,0,0,0,0,0
688,12,0,0,0,0,0,0,0
689,12,0,0,0,1,0,0,0
690,12,0,0,0,1,0,0,0
691,12,0,0,0,0,0,0,0
692,12,0,0,0,0,0,0,0
693,12,0,0,0,1,0,0,0
694,12,0,0,0,1,0,0,0
695,12,0,0,0,1,0,0,0
696,12,1,0,0,0,0,0,1
697,12,0,0,0,0,0,0,0
698,12,0,0,0,0,1,0,0
699,12,0,0,0,0,0,0,0
700,12,0,0,0,1,0,0,0
701,12,0,0,0,1,0,0,0
702,12,0,0,0,0,0,0,0
703,12,0,0,0,0,0,0,0
704,12,0,0,0,0,0,0,0
705,12,0,0,0,0,0,1,0
706,12,0,0,0,0,0,0,0
707,12,0,0,0,0,0,0,1
708,12,0,0,0,0,0,0,0
709,12,0,0,0,1,0,0,0
710,12,0,0,0,1,0,0,0
711,12,0,0,0,1,0,0,0
712,12,0,0,0,0,0,0,0
713,12,0,0,0,0,0,0,0
714,12,0,0,0,0,0,0,0
715,12,0,0,0,0,0,0,0
716,12,0,0,0,0,0,0,0
717,12,0,0,0,0,0,0,0
718,12,0,0,0,0,0,0,0
719,12,0,0,0,0,0,0,0
720,12,0,0,0,0,0,0,0
721,13,0,0,0,0,0,0,0
722,13,0,0,0,0,0,0,0
723,13,0,0,0,0,0,0,0
724,13,0,0,0,1,0,0,0
725,13,0,0,0,1,0,0,0
726,13,0,0,0,1,0,0,0
727,13,0,0,0,0,0,0,0
728,13,0,0,0,0,0,0,0
729,13,0,0,0,0,0,0,0
730,13,0,0,0,0,0,0,0
731,13,0,0,0,1,0,0,0
732,13,0,0,0,1,0,0,0
733,13,0,0,0,0,0,0,0
734,13,0,0,0,0,0,0,0
735,13,0,0,0,0,0,0,0
736,13,0,0,0,0,0,0,0
737,13,0,0,0,0,0,0,0
738,13,0,0,0,0,0,0,0
739,13,0,0,0,0,0,0,0
740,13,0,0,0,0,0,0,0
741,13,0,0,0,0,0,0,0
742,13,0,0,0,0,0,0,0
743,13,0,0,0,0,0,0,0
744,13,0,0,0,0,0,0,0
745,13,0,0,0,0,0,0,0
746,13,0,0,0,0,0,0,0
747,13,0,0,0,0,0,0,0
748,13,0,0,0,0,0,0,0
749,13,0,0,0,0,0,0,0
750,13,0,0,0,0,0,0,0
751,13,0,0,0,0,0,0,0
752,13,0,0,0,0,0,0,0
753,13,0,0,0,0,0,0,0
754,13,0,0,0,0,0,0,0
755,13,0,0,0,0,0,0,0
756,13,0,0,0,0,0,0,0
757,13,0,0,0,0,0,0,0
758,13,0,0,0,0,0,0,0
759,13,0,0,0,0,0,0,0
760,13,0,0,0,0,0,0,0
761,13,0,0,0,0,0,0,0
762,13,0,0,0,0,0,0,0
763,13,0,0,0,0,0,0,0
764,13,0,0,0,0,0,0,0
765,13,0,0,0,0,0,0,0
766,13,0,0,0,0,0,0,0
767,13,0,0,0,0,0,0,0
768,13,0,0,0,0,0,0,0
769,13,0,0,0,0,0,0,0
770,13,0,0,0,0,0,0,0
771,13,0,0,0,0,0,0,0
772,13,0,0,0,0,0,0,0
773,13,0,0,0,0,0,0,0
